Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCSE,CSE 313/CSE 3313,Computer Architecture,D,SAhSh,"October 25, 2025",02:00 PM - 04:00 PM,308 (011221148-0112330412)                                                                                                                                                                                                                       309 (0112330413-0112410254)
BSCSE,CSE 313/CSE 3313,Computer Architecture,E,SAhSh,"October 25, 2025",02:00 PM - 04:00 PM,322 (011212006-0112330340)                                                                                                                                                                                                                       323 (0112330366-0112331167)
BSCSE,CSE 313/CSE 3313,Computer Architecture,F,STT,"October 25, 2025",02:00 PM - 04:00 PM,324 (011201316-0112330097)                                                                                                                                                                                                                       325 (0112330100-0112410146)
BSCSE,CSE 313/CSE 3313,Computer Architecture,G,TaSa,"October 25, 2025",02:00 PM - 04:00 PM,328 (011153072-0112330072)                                                                                                                                                                                                                       329 (0112330211-0112430006)
BSCSE,CSE 313/CSE 3313,Computer Architecture,H,TaSa,"October 25, 2025",02:00 PM - 04:00 PM,330 (011212011-0112320043)                                                                                                                                                                                                                       401 (0112320126-0112410248)
BSCSE,CSE 313/CSE 3313,Computer Architecture,I,SAhSh,"October 25, 2025",02:00 PM - 04:00 PM,402 (011172045-0112330067)                                                                                                                                                                                                                       403 (0112330085-0112331148)
BSCSE,CSE 313/CSE 3313,Computer Architecture,J,STT,"October 25, 2025",02:00 PM - 04:00 PM,404 (011193122-0112330237)                                                                                                                                                                                                                       425 (0112330242-0112410524)
BSCSE,CSE 313/CSE 3313,Computer Architecture,K,MoIsm,"October 25, 2025",02:00 PM - 04:00 PM,428 (011201310-0112330232)
BSCSE,CSE 313/CSE 3313,Computer Architecture,L,STT,"October 25, 2025",02:00 PM - 04:00 PM,429 (011201401-0112330151)                                                                                                                                                                                                                       431 (0112330214-0112410062)
BSCSE,CSE 313/CSE 3313,Computer Architecture,M,SAhSh,"October 25, 2025",02:00 PM - 04:00 PM,432 (011182080-0112330360)                                                                                                                                                                                                                       601 (0112330362-0112410314)
BSCSE,CSE 313/CSE 3313,Computer Architecture,O,MdMrRn,"October 25, 2025",02:00 PM - 04:00 PM,602 (011162047-0112410508)
BSCSE,CSE 4889/CSE 489,Machine Learning,A,ARnA,"October 25, 2025",02:00 PM - 04:00 PM,703 (011192073-011221292)                                                                                                                                                                                                                       706 (011221299-0112310113)
BSCSE,CSE 4889/CSE 489,Machine Learning,B,Ojn,"October 25, 2025",02:00 PM - 04:00 PM,701 (011201209-011221334)                                                                                                                                                                                                                       702 (011221339-0112230829)
BSCSE,CSE 4889/CSE 489,Machine Learning,C,Ojn,"October 25, 2025",02:00 PM - 04:00 PM,402 (011201194-011221263)                                                                                                                                                                                                                       403 (011221265-0112231068)
BSCSE,CSE 4889/CSE 489,Machine Learning,D,ShAhd,"October 25, 2025",02:00 PM - 04:00 PM,308 (011183060-011221170)                                                                                                                                                                                                                       309 (011221199-0112310470)
BSCSE,CSE 4889/CSE 489,Machine Learning,E,SaIs,"October 25, 2025",02:00 PM - 04:00 PM,322 (011203016-011221454)                                                                                                                                                                                                                       323 (011221457-0112310423)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",A,MMBK,"October 25, 2025",02:00 PM - 04:00 PM,725 (011213198-0112430148)                                                                                                                                                                                                                       728 (0112430156-0112430743)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",B,SMYA,"October 25, 2025",02:00 PM - 04:00 PM,729 (011213212-0112430005)                                                                                                                                                                                                                       730 (0112430012-0112430745)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",C,ShIA,"October 25, 2025",02:00 PM - 04:00 PM,731 (011221316-0112430636)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",D,NzHn,"October 25, 2025",02:00 PM - 04:00 PM,732 (011193157-0112430125)                                                                                                                                                                                                                       801 (0112430126-0112520159)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",E,SamAr,"October 25, 2025",02:00 PM - 04:00 PM,802 (011202157-0112430639)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",F,NPn,"October 25, 2025",02:00 PM - 04:00 PM,803 (011221302-0112420544)                                                                                                                                                                                                                       804 (0112420548-0112430717)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",G,AKMRn,"October 25, 2025",02:00 PM - 04:00 PM,805 (011203048-0112430082)                                                                                                                                                                                                                       806 (0112430087-0112510184)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",H,AKMRn,"October 25, 2025",02:00 PM - 04:00 PM,901 (011221484-0112430710)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",I,MdAsn,"October 25, 2025",02:00 PM - 04:00 PM,902 (011221136-0112420161)                                                                                                                                                                                                                       903 (0112420242-0112430729)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",J,SamAr,"October 25, 2025",02:00 PM - 04:00 PM,904 (011213172-0112430706)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",K,SIsm,"October 25, 2025",02:00 PM - 04:00 PM,907 (011221268-0112430730)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",L,NzHn,"October 25, 2025",02:00 PM - 04:00 PM,932 (011222094-0112430075)                                                                                                                                                                                                                       1028 (0112430078-0112430676)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",M,SIsm,"October 25, 2025",02:00 PM - 04:00 PM,1029 (011201079-0112430740)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",N,MdAsn,"October 25, 2025",02:00 PM - 04:00 PM,1030 (0112230188-0112430122)                                                                                                                                                                                                                       1031 (0112430149-0112430695)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",O,SamAr,"October 25, 2025",02:00 PM - 04:00 PM,602 (011191001-0112430133)                                                                                                                                                                                                                       603 (0112430140-0112510277)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",P,NSM,"October 25, 2025",02:00 PM - 04:00 PM,302 (011221241-0112430720)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",Q,MMBK,"October 25, 2025",02:00 PM - 04:00 PM,431 (011201122-0112430029)                                                                                                                                                                                                                       432 (0112430030-0112510012)
BSCSE,SOC 101/SOC 2101/SOC 2102,"Society, Environment and Computing Ethics/Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",A,ShAhd,"October 25, 2025",02:00 PM - 04:00 PM,703 (011213054-0112330779)                                                                                                                                                                                                                       706 (0112330863-0152430019)
BSCSE,SOC 101/SOC 2101/SOC 2102,"Society, Environment and Computing Ethics/Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",B,MdShA,"October 25, 2025",02:00 PM - 04:00 PM,701 (011202283-0112331033)                                                                                                                                                                                                                       702 (0112331128-0152420023)
BSCSE,SOC 101/SOC 2101/SOC 2102,"Society, Environment and Computing Ethics/Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",C,AHMOH,"October 25, 2025",02:00 PM - 04:00 PM,631 (011162109-0112330535)                                                                                                                                                                                                                       632 (0112330712-0112430449)
BSCSE,SOC 101/SOC 2101/SOC 2102,"Society, Environment and Computing Ethics/Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",D,MiBa,"October 25, 2025",02:00 PM - 04:00 PM,605 (011202015-0112330763)                                                                                                                                                                                                                       630 (0112330881-0152510003)
BSCSE,SOC 101/SOC 2101/SOC 2102,"Society, Environment and Computing Ethics/Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",E,KAN,"October 25, 2025",02:00 PM - 04:00 PM,603 (011222081-0112331048)                                                                                                                                                                                                                       604 (0112331054-0112430539)
BSCSE,SOC 101/SOC 2101/SOC 2102,"Society, Environment and Computing Ethics/Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",F,AbHn,"October 25, 2025",02:00 PM - 04:00 PM,324 (011221099-0112330746)                                                                                                                                                                                                                       325 (0112330886-0112520264)
BSCSE,SOC 101/SOC 2101/SOC 2102,"Society, Environment and Computing Ethics/Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",G,MTR,"October 25, 2025",02:00 PM - 04:00 PM,328 (011193074-0112410282)                                                                                                                                                                                                                       329 (0112410285-0152510004)
BSCSE,SOC 101/SOC 2101/SOC 2102,"Society, Environment and Computing Ethics/Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",H,KBJ,"October 25, 2025",02:00 PM - 04:00 PM,330 (011203006-0112330347)                                                                                                                                                                                                                       401 (0112330478-0152320004)
BSDS,MATH 2107,Linear Algebra,BA,AkAd,"October 25, 2025",02:00 PM - 04:00 PM,302 (0152330012-0152430033)                                                                                                                                                                                                                       303 (0152430034-0152430105)
BSDS,MATH 2107,Linear Algebra,BB,AkAd,"October 25, 2025",02:00 PM - 04:00 PM,304 (0152310008-0152430090)
BSEEE,EEE 2101,Electronics I,B,BKM,"October 25, 2025",02:00 PM - 04:00 PM,305 (021201089-0212430008)                                                                                                                                                                                                                       306 (0212430009-0212430091)
BSEEE,EEE 2101,Electronics I,A,BKM,"October 25, 2025",02:00 PM - 04:00 PM,307 (021191026-0212430079)
BSEEE,EEE 401/EEE 4109,Control System,B,MKMR,"October 25, 2025",02:00 PM - 04:00 PM,428 (021162038-021213004)                                                                                                                                                                                                                       429 (021221006-0212230031)
BSEEE,EEE 401/EEE 4109,Control System,A,BKM,"October 25, 2025",02:00 PM - 04:00 PM,404 (021131142-021221026)                                                                                                                                                                                                                       425 (021221027-0212230112)
BSEEE,MAT 2109/MATH 201,Coordinate Geometry and Vector Analysis,A,TN,"October 25, 2025",02:00 PM - 04:00 PM,707 (021193005-0212330016)                                                                                                                                                                                                                       708 (0212330028-0212410026)
BSCSE,CSE 3521/CSI 221,Database Management Systems,A,DID,"October 26, 2025",09:00 AM - 11:00 AM,602 (011153072-0112310081)                                                                                                                                                                                                                       603 (0112310082-0112410230)
BSCSE,CSE 3521/CSI 221,Database Management Systems,B,MahHsn,"October 26, 2025",09:00 AM - 11:00 AM,604 (011203045-0112310484)                                                                                                                                                                                                                       605 (0112320043-0112410340)
BSCSE,CSE 3521/CSI 221,Database Management Systems,C,TBD,"October 26, 2025",09:00 AM - 11:00 AM,630 (011202103-0112310358)                                                                                                                                                                                                                       631 (0112310366-0112331046)
BSCSE,CSE 3521/CSI 221,Database Management Systems,D,SaIs,"October 26, 2025",09:00 AM - 11:00 AM,632 (011162109-0112310218)                                                                                                                                                                                                                       701 (0112310272-0112420516)
BSCSE,CSE 3521/CSI 221,Database Management Systems,E,TBS,"October 26, 2025",09:00 AM - 11:00 AM,702 (011202035-0112310074)                                                                                                                                                                                                                       703 (0112310162-0112410442)
BSCSE,CSE 3521/CSI 221,Database Management Systems,F,SaIs,"October 26, 2025",09:00 AM - 11:00 AM,706 (011183060-0112230806)                                                                                                                                                                                                                       707 (0112230819-0112410208)
BSCSE,CSE 3521/CSI 221,Database Management Systems,G,SaIs,"October 26, 2025",09:00 AM - 11:00 AM,708 (011192099-0112310363)                                                                                                                                                                                                                       711 (0112310375-0112330987)
BSCSE,CSE 3521/CSI 221,Database Management Systems,H,SMSR,"October 26, 2025",09:00 AM - 11:00 AM,722 (011201209-0112310122)                                                                                                                                                                                                                       723 (0112310138-0112331010)
BSCSE,CSE 3521/CSI 221,Database Management Systems,I,FAH,"October 26, 2025",09:00 AM - 11:00 AM,724 (011182070-0112310115)                                                                                                                                                                                                                       725 (0112310233-0112410360)
BSCSE,CSE 4611/CSI 411,Compiler/Compiler Design,A,NSS,"October 26, 2025",09:00 AM - 11:00 AM,305 (011172007-011221039)                                                                                                                                                                                                                       306 (011221126-0112330687)
BSDS,CSE 3521/CSI 221,Database Management Systems,BB,MahHsn,"October 26, 2025",09:00 AM - 11:00 AM,305 (015221001-0152330067)                                                                                                                                                                                                                       306 (0152330069-0152410023)
BSDS,CSE 3521/CSI 221,Database Management Systems,BA,MahHsn,"October 26, 2025",09:00 AM - 11:00 AM,304 (015222002-0152330142)
BSEEE,MAT 1103,Calculus II,B,AM,"October 26, 2025",09:00 AM - 11:00 AM,302 (0212330055-0212510045)
BSEEE,MAT 1103/MATH 151,Calculus II/Differential and Integral Calculus,A,ShIA,"October 26, 2025",09:00 AM - 11:00 AM,301 (021212006-0212510038)
BSEEE,SOC 3101,"Society, Environment and Engineering Ethics",A,JJM,"October 26, 2025",09:00 AM - 11:00 AM,307 (021193023-0212230026)                                                                                                                                                                                                                       308 (0212230046-0212320022)
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",A,ShMd,"October 26, 2025",11:30 AM - 01:30 PM,302 (011191060-0112310423)
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",B,KMRH,"October 26, 2025",11:30 AM - 01:30 PM,303 (011203065-0112230693)                                                                                                                                                                                                                       304 (0112230717-0112310481)
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",C,MSTR,"October 26, 2025",11:30 AM - 01:30 PM,305 (011181116-0112230247)                                                                                                                                                                                                                       306 (0112230248-0112310079)
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",D,KMRH,"October 26, 2025",11:30 AM - 01:30 PM,307 (011193060-0112230425)                                                                                                                                                                                                                       308 (0112230431-0112330096)
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",E,MSTR,"October 26, 2025",11:30 AM - 01:30 PM,309 (011183016-011222177)                                                                                                                                                                                                                       322 (011222245-0112310466)
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",F,RNF,"October 26, 2025",11:30 AM - 01:30 PM,323 (011181303-0112310317)
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",G,KMRH,"October 26, 2025",11:30 AM - 01:30 PM,324 (011221076-0112230339)                                                                                                                                                                                                                       325 (0112230345-0112310594)
BSEEE,EEE 207/EEE 2103,Electronics II,A,SdM,"October 26, 2025",11:30 AM - 01:30 PM,306 (021193025-0212410002)                                                                                                                                                                                                                       307 (0212410012-0212420078)
BSEEE,EEE 207/EEE 2103,Electronics II,B,SwMr,"October 26, 2025",11:30 AM - 01:30 PM,308 (021131142-0212330106)                                                                                                                                                                                                                       309 (0212330119-0212420081)
BSEEE,IPE 401/IPE 4101,Industrial Management/Industrial Production Engineering,A,PPDR,"October 26, 2025",11:30 AM - 01:30 PM,303 (021193032-021221042)                                                                                                                                                                                                                       304 (021221056-0212420074)
BSCSE,ACT 111/ACT 2111,Financial and Managerial Accounting,A,ItJn,"October 26, 2025",02:00 PM - 04:00 PM,302 (011191277-0112231034)                                                                                                                                                                                                                       303 (0112231039-0152330088)
BSCSE,ACT 111/ACT 2111,Financial and Managerial Accounting,B,IJ,"October 26, 2025",02:00 PM - 04:00 PM,304 (011201048-0112310412)                                                                                                                                                                                                                       305 (0112310417-0152330150)
BSCSE,ACT 111/ACT 2111,Financial and Managerial Accounting,C,IJ,"October 26, 2025",02:00 PM - 04:00 PM,306 (011172045-0112330082)                                                                                                                                                                                                                       307 (0112330090-0152520015)
BSCSE,CSE 4893,Introduction to Bioinformatics,A,RtAm,"October 26, 2025",02:00 PM - 04:00 PM,301 (011183087-0112230227)
BSCSE,MATH 2205/STAT 205,Probability and Statistics,A,JAS,"October 26, 2025",02:00 PM - 04:00 PM,604 (011163060-0112330031)                                                                                                                                                                                                                       605 (0112330192-0152420020)
BSCSE,MATH 2205/STAT 205,Probability and Statistics,B,MUn,"October 26, 2025",02:00 PM - 04:00 PM,630 (011162003-0112410169)                                                                                                                                                                                                                       631 (0112410195-0152420010)
BSCSE,MATH 2205/STAT 205,Probability and Statistics,C,MUn,"October 26, 2025",02:00 PM - 04:00 PM,632 (011212022-0112331034)                                                                                                                                                                                                                       701 (0112331153-0152420018)
BSCSE,MATH 2205/STAT 205,Probability and Statistics,D,MUn,"October 26, 2025",02:00 PM - 04:00 PM,702 (011191059-0112410001)                                                                                                                                                                                                                       703 (0112410008-0152410024)
BSCSE,MATH 2205/STAT 205,Probability and Statistics,E,AkAd,"October 26, 2025",02:00 PM - 04:00 PM,706 (011181190-0152410007)
BSCSE,MATH 2205/STAT 205,Probability and Statistics,F,MoIm,"October 26, 2025",02:00 PM - 04:00 PM,707 (011192034-0112330248)                                                                                                                                                                                                                       708 (0112330252-0112420523)
